num_columnas_eliminadas,combinacion,observaciones
2,"['valor_HCST', 'valor_VIT_B12']",374
2,"['valor_HCST', 'valor_VIT_D']",374
2,"['valor_PROTCREAC', 'valor_STFR_FEB23']",397
2,"['valor_PROTCREAC', 'valor_VIT_B12']",375
2,"['valor_PROTCREAC', 'valor_VIT_D']",375
2,"['valor_STFR_FEB23', 'valor_VIT_B12']",396
2,"['valor_STFR_FEB23', 'valor_VIT_D']",396
2,"['valor_VIT_B12', 'valor_VIT_D']",374
3,"['hb02', 'hb07b', 'valor_AC_URICO']",584
3,"['hb02', 'hb07b', 'valor_ALBU']",584
3,"['hb02', 'hb07b', 'valor_COL_HDL']",584
3,"['hb02', 'hb07b', 'valor_COL_LDL']",584
3,"['hb02', 'hb07b', 'valor_COLEST']",584
3,"['hb02', 'hb07b', 'valor_CREAT']",584
3,"['hb02', 'hb07b', 'valor_GLU_SUERO']",584
3,"['hb02', 'hb07b', 'valor_INSULINA']",584
3,"['hb02', 'hb07b', 'valor_PCR']",584
3,"['hb02', 'hb07b', 'valor_TRIG']",584
3,"['hb02', 'hb07b', 'valor_EAG']",584
3,"['hb02', 'hb07b', 'valor_HB1AC']",584
3,"['hb02', 'hb07b', 'valor_FERRITINA']",584
3,"['hb02', 'hb07b', 'valor_FOL']",584
3,"['hb02', 'hb07b', 'valor_HCST']",584
3,"['hb02', 'hb07b', 'valor_PROTCREAC']",585
3,"['hb02', 'hb07b', 'valor_STFR_FEB23']",622
3,"['hb02', 'hb07b', 'valor_VIT_B12']",584
3,"['hb02', 'hb07b', 'valor_VIT_D']",584
3,"['hb02', 'valor_AC_URICO', 'valor_ALBU']",374
3,"['hb02', 'valor_AC_URICO', 'valor_COL_HDL']",374
3,"['hb02', 'valor_AC_URICO', 'valor_COL_LDL']",374
3,"['hb02', 'valor_AC_URICO', 'valor_COLEST']",374
3,"['hb02', 'valor_AC_URICO', 'valor_CREAT']",374
3,"['hb02', 'valor_AC_URICO', 'valor_GLU_SUERO']",374
3,"['hb02', 'valor_AC_URICO', 'valor_INSULINA']",374
3,"['hb02', 'valor_AC_URICO', 'valor_PCR']",374
3,"['hb02', 'valor_AC_URICO', 'valor_TRIG']",374
3,"['hb02', 'valor_AC_URICO', 'valor_EAG']",374
3,"['hb02', 'valor_AC_URICO', 'valor_HB1AC']",374
3,"['hb02', 'valor_AC_URICO', 'valor_FERRITINA']",374
3,"['hb02', 'valor_AC_URICO', 'valor_FOL']",374
3,"['hb02', 'valor_AC_URICO', 'valor_HCST']",374
3,"['hb02', 'valor_AC_URICO', 'valor_PROTCREAC']",375
3,"['hb02', 'valor_AC_URICO', 'valor_STFR_FEB23']",396
3,"['hb02', 'valor_AC_URICO', 'valor_VIT_B12']",374
3,"['hb02', 'valor_AC_URICO', 'valor_VIT_D']",374
3,"['hb02', 'valor_ALBU', 'valor_COL_HDL']",374
3,"['hb02', 'valor_ALBU', 'valor_COL_LDL']",374
3,"['hb02', 'valor_ALBU', 'valor_COLEST']",374
3,"['hb02', 'valor_ALBU', 'valor_CREAT']",374
3,"['hb02', 'valor_ALBU', 'valor_GLU_SUERO']",374
3,"['hb02', 'valor_ALBU', 'valor_INSULINA']",374
3,"['hb02', 'valor_ALBU', 'valor_PCR']",374
3,"['hb02', 'valor_ALBU', 'valor_TRIG']",374
3,"['hb02', 'valor_ALBU', 'valor_EAG']",374
3,"['hb02', 'valor_ALBU', 'valor_HB1AC']",374
3,"['hb02', 'valor_ALBU', 'valor_FERRITINA']",374
3,"['hb02', 'valor_ALBU', 'valor_FOL']",374
